eap_other_southeast_asia,Other Southeast Asia
cot_other,Other Crops
sas_pakistan,Pakistan
ols_palm_fruit,Oil Palm Fruit
lac_panama,Panama
lac_peru,Peru
eap_philippines,Philippines
pul_pigeonpeas,Pigeonpeas
mls_palm_kernel_meal,Palm Kernal Meal
oil_palm_kernel_oil,Palm Kernal Oil
ols_palm_kernel,Palm Kernal
f&v_plantain,Plantains
oil_palm_fruit_oil,Palm Oil
eap_papua_new_guinea,Papua New Guinea
eur_poland,Poland
popxagg,Population
amt_pork,Pigs or pork
amt_pork,Pigs or pork
r&t_potato,Potato
amt_poultry,Poultry
eap_north_korea,North Korea
eur_portugal,Portugal
lac_paraguay,Paraguay
men_palestine,Occupied Palestinian Territory
for_grass,Pasture
qdxagg,Total Demand
qfxagg,Household Demand
men_rest_of_arabia,Rest of Arab Peninsula
cer_rice,Rice
eur_romania,Romania
mls_rapeseed_meal,Rapeseed Meal
oil_rapeseed_oil,Rapeseed Oil
ols_rapeseed,Rapeseed
fsu_russia,Russia
ssa_rwanda,Rwanda
men_saudi_arabia,Saudi Arabia
mls_soybean_meal,Soybean Meal
oil_soybean_oil,Soybean Oil
ssa_sudan,Sudan
ssa_senegal,Senegal
mls_sunflower_meal,Sunflower Meal
mls_sunflower_meal,Sunflower Meal
oil_sunflower_oil,Sunflower Oil
eap_solomon_islands,Solomon Islands
ssa_sierra_leon,Sierra Leone
lac_el_salvador,El Salvador
ols_sunflower,Sunflower Seeds
ssa_somalia,Somalia
cer_sorghum,Sorghum
ols_soybean,Soybeans
eur_spain,Spain plus
ssp2_gfdl,SSP2_GFDL
ssp2_hgem,SSP2_HGEM
ssp2_ipsl,SSP2_IPSL
ssp2_miroc,SSP2_MIROC
ssp2_nocc,SSP2_NOCC
f&v_tropical_fruit,(Sub)-Tropical Fruits
sgc_sugar_beet,Sugarbeet
sgc_sugarcane,Sugarcane
sgr_sugar,Refined Sugar
eur_slovakia,Slovakia
eur_slovenia,Slovenia
eur_sweden,Sweden
r&t_sweet_potato,Sweet Potatoes
ssa_swaziland,Swaziland
men_syria,Syria
ssa_chad,Chad
cot_tea,Tea
f&v_temperate_fruit,Temperate Fruits
f&v_temperate_fruit,Temperate Fruits
ssa_togo,Togo
eap_thailand,Thailand
fsu_tajikistan,Tajikistan
fsu_turkmenistan,Turkmenistan
eap_timor_l'este,East Timor
ols_other_oilseeds,Total Other Oilseeds
mls_other_meals,Total Other Oilseed Meal
oil_other_oils,Total Other Oils
men_tunisia,Tunisia
men_turkey,Turkey
ssa_tanzania,United Republic of Tanzania
ssa_uganda,Uganda
eur_uk,Great Britain plus
fsu_ukraine,Ukraine
lac_uruguay,Uruguay
nam_usa,United States of America
fsu_uzbekistan,Uzbekistan
f&v_vegetables,Vegetables
f&v_vegetables,Vegetables
lac_venezuela,Venezuela
eap_vietnam,Vietnam
eap_vanuatu,Vanuatu
cer_wheat,Wheat
r&t_yams,Yams
men_yemen,Yemen
ssa_south_africa,South Africa
ssa_zambia,Zambia
ssa_zimbabwe,Zimbabwe
australia_and_new_zealand,Australia and New Zealand,
caribbean,Caribbean,
central_america,Central America,
central_asia,Central Asia,
eastern_africa,Eastern Africa
eastern_asia,Eastern Asia,
eastern_europe,Eastern Europe,
melanesia,Melanesia,
middle_africa,Middle Africa,
northern_africa,Northern Africa,
northern_america,Northern America,
northern_europe,Northern Europe,
south_america,South America,
south_eastern_Asia,South_Eastern Asia,
southern_africa,Southern Africa,
southern_asia,Southern Asia,
southern_europe,Southern Europe,
western_africa,Western Africa
western_asia,Western Asia,
western_europe,Western Europe
amt,Meat
aot,Dairy
cer,Cereals
cot,Other Crops
f&v,Fruits & Vegetables
mls,Other Meals
oil,Processed Oils
ols,Oil Seeds
pul,Pulses
r&t,Roots & Tubers
sgc,Sugar Crops
sgr,Sugar
impactparameter,IMPACT Parameter
commodity_summary,Commodity Summary
custom,Custom Brief
country_summary,Country Summary
agg_commodity,Commodity Group
ssa,Sub-Saharan Africa
eap,East Asia Pacific
lac,Latin America & Caribbean
sas,South Asia
fsu,Former Soviet Union
nam,North America
men,North Africa & Middle East
eur,Western Europe
eca,Eastern Europe & Central Asia
eap_south_korea,South Korea
dvg,Developing countries
dvd,Developed countries
_type,Scenario
anmlnumxagg,Animal numbers
anmlyldxagg,Animal yield
gdpxAgg,Income(GDP)
pcgdpxagg,Income per capita
percapkcalcxagg,Kcal. per capita by commodity
percapkcalxagg,Kcal. per capita
populationatriskxagg,Pop. at risk of hunger
popxagg,Population
pwxagg,World prices
qdxagg,Total demand
qfxagg,Household demand
qlxagg,Livestock feed demand
qnxagg,Net trade
qsupxagg,Production
shareatriskxagg,Share at risk of hunger
tareaxagg,Total area
totalmalnourishedxagg,Undernourished childen(weight for age)
tyldxagg,Total yield
africa,Africa
wld,World
asia,Asia
eapg,Eastern Asia(developing countries only)
fsu,Former Soviet Union
meng,Middle East & North Africa(developing countries only)
oceania,Oceania
ssp2_hgem2,REF_HGEM
ssp2_hgem_hinars2,HIGH+NARS
ssp2_hgem_hireff2,HIGH+RE
ssp2_hgem_hiyld2,HIGH
ssp2_hgem_irrexp2,IX
ssp2_hgem_irrexp_wue2,IX+WUE
ssp2_hgem_loyld2,MED
ssp2_hgem_mmeff2,RMM
ssp2_hgem_pangloss2,COMP
ssp2_hgem_phl_dev2
ssp2_hgem_regyld2,REGION
ssp2_hgem_swhc2,ISW
ssp2_nocc2,REF_NoCC
allc,All crops
commodity-summary,Commodity Summary
country-summary,Country Summary
baseline,Baseline
alla,Meat&Dairy
ssp2_gfdl_sk,SSP2_GFDL
ssp2_hgem_sk,SSP2_HGEM
ssp2_ipsl_sk,SSP2_IPSL
ssp2_nocc_sk,SSP2_NoCC
agg_continent,Continent
agg_subcontinet,Subcontinent
year,Year
commodity,Commodity
